Stepnumber,SCurveRound1,SCurveRound2
1,-0.00954076227447114,-0.00935893596950907
2,0.613684356515181,-0.0093370567673547
3,0.717582029416935,-0.0316272388032044
4,0.246100423036442,-0.0514931070388011
5,0.0327149811750814,0.00568482109547787
6,-0.0433308755545155,0.00132662445618928
7,-0.00407721408316909,-0.0275662555208515
8,0.0190558999797428,-0.0361055028004063
9,0.0590484690416641,-0.0402802362082083
10,0.0791824481243332,-0.0430446048101658
11,0.0969066966644148,-0.0556049746325776
12,0.11680046024453,-0.0681511588171155
13,0.143998302174462,-0.0818600430785879
14,0.150322928458276,-0.09099685982898
15,0.122479486889053,-0.10331636493411
16,0.139062450420341,-0.103729329419795
17,0.126139166878312,-0.120978959161387
18,0.0972555542815314,-0.129828039464624
19,0.109645473838971,-0.123346976610487
20,0.136975499141525,-0.124730101592253
21,0.0983726224220207,-0.135217654623055
22,0.090963226467937,-0.134667585434669
23,0.0892429670486539,-0.137458220917682
24,0.119888531387007,-0.149305453210822
25,0.110350119326196,-0.139668099451939
26,0.0961077613902726,-0.141690213111843
27,0.0846949097987039,-0.128118366952981
28,0.086234700368184,-0.0903324544677859
29,0.0954473705371991,-0.0739651336905265
30,0.0795708831943978,-0.0568128101201641
31,0.108820696662339,-0.065812733669016
32,0.338020819552391,-0.0835113422346035
33,0.37382449479959,-0.0791592998367645
34,0.722130016975182,-0.0864403262151042
35,0.576461963524065,-0.0899334723918008
36,0.551050988156794,-0.100710592686685
37,0.565585065508851,-0.0888071575573758
38,0.574765080231585,-0.120796642158922
39,0.609917084712879,-0.122618429267832
40,0.595836681444055,-0.0968701739076218
41,0.627909336773194,-0.0965275797614269
42,0.513791649450512,-0.115075386001192
43,0.534904450346669,-0.11742067982905
44,0.626616966816404,-0.116192255505251
45,0.627450082849232,-0.121941826790436
46,0.637660366604419,-0.117452990607222
47,0.679975184234551,-0.127356615898334
48,0.70314490557035,-0.125597932187949
49,0.633388892018569,-0.123183996671618
50,0.653770997278223,-0.138787399630308
51,0.648564244561591,-0.142218116999381
52,0.626492549704485,-0.150876531708138
53,0.627551049989801,-0.143119875706787
54,0.628006973292967,-0.138513159384479
55,0.561120556658317,-0.1270345842912
56,0.576788906497242,-0.106362768441276
57,0.48894249417328,-0.0916755361372241
58,0.431789573342533,-0.111373228746162
59,0.416464615660577,-0.110422899827171
60,0.394792872512134,-0.118840140790331
61,0.440055286966192,-0.123537036471363
62,0.455231912218817,-0.116420760462735
63,0.449172106176721,-0.114483589612839
64,0.446545465284452,-0.124528568458069
65,0.432277595749511,-0.100046075099238
66,0.440078040293975,-0.115004369560153
67,0.421574775484495,-0.117159493215063
68,0.424576782508649,-0.119586457860588
69,0.414923510967969,-0.118680232951507
70,0.425528867164059,-0.118483756821135
71,0.424411268262872,-0.150863459245036
72,0.434177756655125,-0.149563046923338
73,0.449620080641782,-0.133317747970167
74,0.473251659427459,-0.125291070417608
75,0.485478746847359,-0.138904651014329
76,0.437371134721388,-0.141906623207602
77,0.424184104886367,-0.147871629893661
78,0.438718193348637,-0.175819791422723
79,0.400911927420398,-0.167299456690227
80,0.411401401883754,-0.174787707295831
81,0.429813427640416,-0.174170516139552
82,0.446915903224738,-0.178083657902671
83,0.438543223803889,-0.172033090154767
84,0.434510562181313,-0.140583653039126
85,0.42095802812355,-0.134568147907045
86,0.395486091264184,-0.130407897120872
87,0.422422707313833,-0.146685670462538
88,0.416977644035438,-0.147128347872847
89,0.404835704972699,-0.139493293372197
90,0.323728170328491,-0.128176544863613
91,0.240029557479551,-0.135941773560272
92,0.220237753934407,-0.135762525133613
93,0.204874148400497,-0.116088779565691
94,0.21218219758916,-0.127683290444333
95,0.253276862919277,-0.132030489778898
96,0.221106062471386,-0.0984576929339616
97,0.306811997837722,-0.0699108613702568
98,0.297804077686879,-0.0686411156135383
99,0.328005240491549,-0.0642946428382816
100,0.31885176312121,-0.0468511052502072
101,0.23279884481417,-0.0468357300128948
102,0.170554984273595,-0.0517322192742959
103,0.183856894546764,-0.0535264469248327
104,0.19709621699509,-0.0673217525674683
105,0.178934113691126,-0.0157947009019817
106,0.187509147711658,-0.0191456094461488
107,0.221886775259447,-0.0109018062560573
108,0.252948752727956,-0.0206386029545285
109,0.263589758816605,-0.0279181409050804
110,0.268889361066251,-0.0273243308678646
111,0.256962761235415,-0.0304262366909618
112,0.236184964959085,-0.0253189821971533
113,0.222313417008186,-0.0446174441641902
114,0.191608787789358,0.076332502658258
115,0.202837996540282,0.0722495935337206
116,0.222871999089058,0.0679043826917962
117,0.209271720468694,0.0660373494572826
118,0.215750291996447,0.0455810478550789
119,0.210154032384341,0.0355915902461821
120,0.19557187774828,0.028973793158259
121,0.0985594394400131,0.0126909359954155
122,0.109877478135712,0.0006545792654713
123,0.112139214929602,-0.000837505646810621
124,0.108117945154418,-0.0175473003396416
125,0.100899030232553,-0.0144804217222516
126,0.0611215683020006,-0.00565070207265195
127,0.054844135154489,0.032539432259584
128,0.0524379185298378,0.0287075386970179
129,0.0393591871243535,0.0316090106024756
130,0.0121291604327358,0.014052215992052
131,0,0
